yc,xc1,xc2,xc3,tc1,tc2,tc3
2706.172611,14.06424731,44.78091398,244.1129032,0.157,13.803,0.0004071
3019.858217,21.35458333,37.57916667,305.2166667,0.157,13.803,0.0004071
3166.837609,22.26639785,49.41532258,272.4677419,0.157,13.803,0.0004071
3192.20198,22.61505376,42.75537634,222.2553763,0.157,13.803,0.0004071
2785.337744,18.45805556,53.5,225.0458333,0.157,13.803,0.0004071
2537.351452,8.881451613,54.77016129,233.7217742,0.157,13.803,0.0004071
2439.359501,6.096666667,42.07638889,217.4472222,0.157,13.803,0.0004071
2649.309258,0.197043011,48.17607527,224.5537634,0.157,13.803,0.0004071
1584.086649,1.691666667,37.93010753,204.0215054,0.679,9.01,0.0013563
1390.610008,0.061011905,51.19196429,181.8467262,0.679,9.01,0.0013563
1484.734307,4.350672043,50.60752688,219.4072581,0.679,9.01,0.0013563
1442.803491,5.442638889,56.03472222,199.3166667,0.679,9.01,0.0013563
1481.777434,14.06424731,44.78091398,244.1129032,0.679,9.01,0.0013563
1712.476965,21.35458333,37.57916667,305.2166667,0.679,9.01,0.0013563
1786.29391,22.26639785,49.41532258,272.4677419,0.679,9.01,0.0013563
1805.557701,22.61505376,42.75537634,222.2553763,0.679,9.01,0.0013563
1539.256742,18.45805556,53.5,225.0458333,0.679,9.01,0.0013563
1378.373847,8.881451613,54.77016129,233.7217742,0.679,9.01,0.0013563
1386.676202,6.096666667,42.07638889,217.4472222,0.679,9.01,0.0013563
1680.499585,0.197043011,48.17607527,224.5537634,0.679,9.01,0.0013563
2173.918568,1.691666667,37.93010753,204.0215054,0.384,23.152,0.0008346
1881.648491,0.061011905,51.19196429,181.8467262,0.384,23.152,0.0008346
2097.010598,4.350672043,50.60752688,219.4072581,0.384,23.152,0.0008346
2016.711717,5.442638889,56.03472222,199.3166667,0.384,23.152,0.0008346
2191.979488,14.06424731,44.78091398,244.1129032,0.384,23.152,0.0008346
2472.120012,21.35458333,37.57916667,305.2166667,0.384,23.152,0.0008346
2573.891277,22.26639785,49.41532258,272.4677419,0.384,23.152,0.0008346
2611.76857,22.61505376,42.75537634,222.2553763,0.384,23.152,0.0008346
2258.167906,18.45805556,53.5,225.0458333,0.384,23.152,0.0008346
2051.308275,8.881451613,54.77016129,233.7217742,0.384,23.152,0.0008346
2001.234627,6.096666667,42.07638889,217.4472222,0.384,23.152,0.0008346
2252.17893,0.197043011,48.17607527,224.5537634,0.384,23.152,0.0008346
